issn,name,year
0123-8418,TERRITORIOS,2003
0121-4195,OPCIONES PEDAGÓGICAS,2001
0124-0722,AGUAITA,
0120-2448,ACTA MÉDICA COLOMBIANA,2002
0120-4823,SIGNO Y PENSAMIENTO,2001
0121-8123,REVISTA COLOMBIANA DE REUMATOLOGÍA,2001
0121-3628,ESTUDIOS DE FILOSOFÍA,2001
0123-1154,REVISTA IBERO-LATINOAMERICANA DE SEGUROS,2002
0123-4676,FRONTERAS DE LA HISTORIA,2002
0124-7905,ENTORNOS,2001
0121-8697,REVISTA DE DERECHO,2001
0121-5299,ENERGÍA Y COMPUTACIÓN,2002
0120-0011,REVISTA DE LA FACULTAD DE MEDICINA DE LA UNIVERSIDAD NACIONAL DE COLOMBIA,2001
0123-3432,"Íkala, Revista de Lenguaje y Cultura",1996
0123-3432,"Íkala, Revista de Lenguaje y Cultura",2001
0123-3432,"Íkala, Revista de Lenguaje y Cultura",2002
0123-2126,Ingeniería y Universidad,2002
0120-9833,ENERGÉTICA,2002
0123-1952,UTOPÍA SIGLO XXI,2001
0124-3551,Revista CIFE: Lecturas de Economía Social,2001
0121-4381,SUMA PSICOLÓGICA,2003
1136-8586,WORLD WATCH,2001
0120-4130,POLIGRAMAS,2001
0120-2952,REVISTA DE LA FACULTAD DE MEDICINA VETERINARIA Y DE ZOOTECNIA,2001
0122-6339,ENUNCIACIÓN,2001
0120-0283,BOLETÍN DE GEOLOGÍA,2001
0124-0579,ESTUDIOS SOCIO-JURÍDICOS,2001
0124-0579,ESTUDIOS SOCIO-JURÍDICOS,2002
0120-341X,REVISTA UNIVERSIDAD EAFIT,2001
0120-341X,REVISTA UNIVERSIDAD EAFIT,2002
0123-2819,POLIFONÍA,
0124-2075,DECISIÓN ADMINISTRATIVA,2001
1794-4724,AVANCES EN PSICOLOGÍA LATINOAMERICANA,2002
0123-8027,INVESTIGACIÓN BOLIVARIANA: ,2004
0121-0319,MÉDICAS UIS,2001
0120-0380,BOLETÍN DE MATEMÁTICAS,2002
0120-3053,APUNTES DEL CENES,2003
0124-5996,REVISTA DE ECONOMÍA INSTITUCIONAL,2003
0123-3432,"Íkala, Revista de Lenguaje y Cultura",2003
0123-885X,REVISTA DE ESTUDIOS SOCIALES,2003
0366-5232,CALDASIA,2002
1657-9534,COLOMBIA MÉDICA,2003
0120-341X,REVISTA UNIVERSIDAD EAFIT,2003
0034-7434,REVISTA COLOMBIANA DE OBSTETRICIA Y GINECOLOGÍA,2003
0121-5612,Colombia Internacional ,2003
0120-3045,MAGUARÉ,2002
0123-496X,ALÉ-KUMÁ REVISTA JURIDICA,2002
0120-0976,REVISTA INTERAMERICANA DE BIBLIOTECOLOGÍA,2003
0121-3628,ESTUDIOS DE FILOSOFÍA,2004
0121-5051,INNOVAR,2004
1692-3375,UMBRAL CIENTÍFICO,2002
1692-3324,REVISTA INGENIERÍAS UNIVERSIDAD DE MEDELLÍN,2004
0120-4130,POLIGRAMAS,2004
0121-7593,REVISTA EDUCACIÓN Y PEDAGOGÍA,2004
